Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
Tanzania Road Support Project II,Tanzania Road Support Project II,Tanzania,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2012/1,Monitoring,Unknown,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,6/5/12,6/25/12,,10/19/12,
Tata Tea-02/Assam,Tata Tea-02/Assam,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,195,Active,Unknown,Equity Investment,Agribusiness,"Due diligence, Human rights, Labor, Other, Other community health and safety issues, Other retaliation (actual or feared)",,2/2/13,,2/13/17,,2/6/14
Tata Tea/CAO Vice President Request,Tata Tea/CAO Vice President Request,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,192,Active,CAO Vice President,Equity Investment,Agribusiness,"Due diligence, Labor, Other community health and safety issues, Violence against the community (by gov't and/or company)",,5/1/12,,,,1/13/17
Tata Ultra Mega-01/Mundra and Anjar,Tata Ultra Mega-01/Mundra and Anjar,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,171,Monitoring,MASS - Association for the Struggle for Fishworkers' Rights,"Equity Investment, Project/investment lending","Energy, Infrastructure","Displacement (physical and/or economic), Due diligence, Livelihoods, Other, Other environmental, Pollution, Water",,6/14/11,,6/11/17,,7/27/12
Tax Administration Reform Project,Tax Administration Reform Project,Pakistan,World Bank Inspection Panel (WB Panel),World Bank,64,Closed With Results Outside Process,Officers of Customs and Excise Group Association,Project/investment lending,Regulatory Development,"Livelihoods, Other",,12/22/09,1/19/10,3/22/10,,
Tbilisi Railway Bypass 1,Tbilisi Railway Bypass,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2011/01,Closed With Results,Association Green Alternative,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",,3/7/11,3/14/11,9/19/11,,9/19/11
Tbilisi Railway Bypass 2,Tbilisi Railway Bypass,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2011/02,Closed With Results,Association Green Alternative,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other, Other community health and safety issues, Pollution, Water",,3/7/11,3/14/11,9/23/11,9/23/11,9/23/11
Tbilisi Railway Bypass 3,Tbilisi Railway Bypass,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2011/03,Closed With Results,Association Green Alternative,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,3/8/11,3/14/11,9/23/11,9/23/11,9/23/11
Tbilisi Railway Bypass 4,Tbilisi Railway Bypass,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2011/04,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Other community health and safety issues,,3/16/11,3/24/11,9/23/11,9/23/11,
Tecnosul-01/Ica,Tecnosul-01/Ica,Peru,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,No IFI involvement,Chemicals,,,11/1/06,,,,
Terminal Contenedores Cadiz,Terminal Contenedores Cadiz,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/18,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other environmental",,1/3/12,,,,8/3/12
Terminal Contenedores Cadiz 2,Terminal Contenedores Cadiz,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/03/Confirmatory,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Other environmental,,7/16/13,,,,
Termoelectrica del Golfo Project,Termoelectrica del Golfo Project,Mexico,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-ME-2011-017,Closed Without Results,"Comisariado Ejidal del Ejido Las Palmas del Municipio de Tamuin, San Luis Potosi, Mexico",Project/investment lending,Energy,"Livelihoods, Other community health and safety issues, Water",,6/27/11,7/28/11,,,
Termovalorizzatore Firenze,Termovalorizzatore Firenze,Italy,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/06/PR,Closed With Results Outside Process,Ufficio Acquisti,Project/investment lending,"Energy, Infrastructure",Due diligence,,4/28/15,,,,
Termovalorizzatore Firenze 2,"Termovalorizzatore, Firenze",Italy,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/06/PRSG/E/2015/08,Active,Unknown,Project/investment lending,"Energy, Infrastructure",Other,,5/27/15,,,,
The Nairobi River Rehabilitation and Restoration Program: Sewerage Improvement Project,The Nairobi River Rehabilitation and Restoration Program: Sewerage Improvement Project,Kenya,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ2015/3,Active,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Other community health and safety issues, Property damage, Water",,6/11/15,7/9/15,,,
Thermal Power Plant Sostanj,Thermal Power Plant Sostanj,Slovenia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/02,Closed Without Results,CEE Bankwatch,,Energy,Consultation and disclosure,,5/3/12,,,,
Thilawa Special Economic Zone (Class-A Area) Development Project,Thilawa Special Economic Zone (Class-A Area) Development Project,Myanmar,Japan International Cooperation Agency Examiner for Environmental Guidelines (JICA EEG),Japan International Cooperation Agency,,Closed With Results,Unknown,Project/investment lending,"Infrastructure, Manufacturing","Displacement (physical and/or economic), Livelihoods, Other, Water",,6/2/14,6/6/14,7/4/14,,7/5/14
"Third Employment, Entrepreneurship and Human Capital Development Policy Loan (not registered)","Third Employment, Entrepreneurship and Human Capital Development Policy Loan (not registered)",Poland,World Bank Inspection Panel (WB Panel),World Bank,68,Closed Without Results,Unknown,Project/investment lending,Other,Other,,6/14/10,,,,
"Third Power Project, Fourth Power Project, and proposed Bujagali Hydropower Project","Third Power Project, Fourth Power Project, and proposed Bujagali Hydropower Project",Uganda,World Bank Inspection Panel (WB Panel),World Bank,24,Closed With Results,"National Association of Professional Environmentalists (NAPE), Uganda Save Bujagali Crusade (SBC)",Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other",,7/27/01,8/7/01,10/10/01,,10/10/01
Togo LCT-01/Lome,Togo LCT-01/Lome,Togo,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,232,Active,Collectif des personnes victimes d'erosion cotiere,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Other retaliation (actual or feared)",,3/9/15,,3/15/17,,11/10/15
Torun Bridge,Torun Bridge,Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/15,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Due diligence, Other, Other environmental",,10/19/10,,,,7/1/11
Training Program for Women Heads of Household,Training Program for Women Heads of Household,Colombia,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CO-2011-018,Closed Without Results,,,,Other,,6/1/11,,,,
Transit Roads V Lot 17,Transit Roads V Lot 17,Bulgaria,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/13,Closed Without Results,Lawyers against corruption,Project/investment lending,,"Due diligence, Other",,12/14/12,,,,
Transitional Support for Economic Recovery Credit and Emergency Economic and Social Reunification Support Project,Transitional Support for Economic Recovery Credit and Emergency Economic and Social Reunification Support Project,Democratic Republic of Congo,World Bank Inspection Panel (WB Panel),World Bank,37,Closed With Results,Autochtones Pygmees et Accompagnant les Autochtones Pygmees en Republique Democratique du Congo,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Other environmental",,11/19/05,12/1/05,2/16/06,,2/16/06
Transmission System Support in Paraguay,Transmission System Support in Paraguay,Paraguay,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PR-2015-0086,Closed Without Results,,Project/investment lending,Energy,Other,,1/2/15,1/8/15,,,
Transport Lending Policy,Transport Lending Policy,Unknown,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/13,Closed With Results,"CEE Bankwatch, ClientEarth Justice for the Planet",,Other,Consultation and disclosure,,11/7/08,11/17/08,12/1/08,,2/1/09
Transport Sector Development Project - Additional Financing,Transport Sector Development Project - Additional Financing,Uganda,World Bank Inspection Panel (WB Panel),World Bank,98,Active,Unknown,Project/investment lending,Infrastructure,Other,,12/19/14,9/28/15,,,
Tsodilo-01/Badplaas,Tsodilo-01/Badplaas,South Africa,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,203,Closed Without Results,Cradle of Life Initiative,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Livelihoods, Pollution",,4/22/13,,5/13/17,,
"Tullow Oil, Kosmos Energy & Jubilee FPSO-01/CAO Vice President Request","Tullow Oil, Kosmos Energy & Jubilee FPSO-01/CAO Vice President Request",Ghana,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,166,Closed Without Results,CAO Vice President,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Due diligence, Other community health and safety issues, Pollution",,8/19/10,,,,
Turk Traktor,Turk Traktor,Turkey,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2015/03,Active,Bislesik Metal Iscileri Sendikari (United Metalworker's Union),Project/investment lending,Manufacturing,Labor,,9/2/15,9/11/15,12/9/15,,
Twin City Centrum,Twin City Centrum,Pakistan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,10/1/09,,,,
UHG-ADM-01/ Turkey,UHG-ADM-01/ Turkey,Turkey,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,5/1/12,,,,
Ukrainian Agribusiness,Ukrainian Agribusiness,Ukraine,,,,Active,Unknown,,Agribusiness,Other,,,,,,
Unnamed Case,Unnamed Case,Unknown,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,,,Procurement,,4/9/15,4/14/15,,,
